en,zu,source
His solo albums in the 60s were some of the most brilliant and breathtaking beautiful sounds I've ever heard.,Ama-albhamu akhe e-solo eminyaka yawo-60 angamanye anezingoma ezimnandi kakhulu kwengake ngazizwa.,News Crawl 2019
"From which it follows that if you want to save the union, you should be straining every sink to make sure Britain leaves on 31 October.","Ukusuka lapho kuzobe sekulandela ukuthi uma ufuna ukusindisa inyonyana, uzobe uphoqelela ukuthi zonke izindawo ezingamazinki zenze isiqinisekiso sokuthi iBhrithani ishiye ngomhla zingama-31 ku-Okthoba.",News Crawl 2019
"Thirty years after St. John Paul II begged Mozambicans to end their civil war, Francis is expected to endorse the new Aug. 1 accord and urge its full implementation when he meets with government authorities on Thursday, his first full day in the region. He arrived Wednesday evening but had no public events scheduled after his brief airport welcome ceremony that featured traditional drums, dance and ululating singers.","Ngemuva kweminyaka engamashumi amathathu u-St.John Paul II enxuse abaseMozambique ukuthi bayiqede impi yabo yombango, uFrancis kulindeleke ukuthi asisayine lesi sivumelwano esisha sangomhla lulu-1 ku-Agasti aphinde akhuthaze ukuthi sifezekiswe ngokugcwele lapho ehlangana neziphathimandla zikahulumeni ngoLwesine, okuwusuku lwakhe lokuqala olugcwele esifundeni. Ufike ngoLwesithathu kusihlwa kodwa ubengenayo imicimbi yomphakathi ebihleliwe ngemuva komcimbi wakhe omfushane wokwamukelwa esikhumulweni sezindiza lapho bekushaywa khona izigubhu zomdabu, kudanswa kukikizelwa kunjeya.",News Crawl 2019
Wynford yw sylfaenydd Stafell Fyw yng Nghaerdydd - canolfan sy'n helpu pobl â dibyniaeth - ac mae hefyd yn ymgynghorydd cwnsela arbenigol.,Wynford yw sylfaenydd Stafell Fyw yng Nghaerdydd - canolfan sy'n helpu pobl â dibyniaeth - ac mae hefyd yn ymgynghorydd cwnsela arbenigol.,News Crawl 2019
"Unai Emery's side have won just two of their last five Premier League games, and remain three points off the Champions League places.","Iqembu lika-Unai Emery lisanqobe imidlalo emibili kuphela kwemihlanu ye-Premier League, futhi lisalelwe ngamaphuzu amathathu ukuze lingene ku-Champions League.",News Crawl 2019
His father was a chauffeur.,Uyise wayengushofa.,News Crawl 2019
No leadership in removing the anti-Semites.,Abukho ubuholi obungasusa abaphikisana nama-Semites.,News Crawl 2019
"Doctors are susceptible to other diseases, such as alcoholism and addiction, so why not ""vaccine hesitancy""?","Odokotela bayathinteka kwezinye izifo, ezinjengokuphuza ngokweqile nokuba yimilutha, ngakho-ke kungani ""ukusetshenziswa komgomo kungatshazwa""?",News Crawl 2019
"Its modern spacious suites exude a feeling of calm, with polished wooden floors, faintly Fifties-style furnishings and original artworks.","Amakamelo esimanje avulekile nakhombisa isizotha, anamapulangwe apholishiwe phansi nanefenisha yesitayela seminyaka yawo-1950 kanye nemisebenzi yobuciko yendabuko.",News Crawl 2019
"Mike Minor had another solid outing, allowing just one run and five hits in six innings but didn't figure into the decision. He struck out five and walked two. Calhoun's 10th homer of the season was the first hit Minor allowed after retiring the first six batters.","UMike Minor wenze enye i-solid outing, ne-run eyodwa kanye nama-hit amahlanu kuma-innings ayisithupha kepha akazange asithole isinqumo. Washaya amahlanu wahamba amabili. I-homer likaCalhoun ye-10 yesizini kwaba yi-hit yokuqala i-Minor eyayivumela ngemuva kokuthatha umhlalaphansi kwama-batter abayisithupha okuqala.",News Crawl 2019
You know where you aren't with M Night Shyamalan.,Uyazi uma ungekho no-M Night Shyamalan.,News Crawl 2019
"The retort drew little reaction in parliament but soon was trending on social media where millennials use ""OK, Boomer"" to show resentment toward the Baby Boom generation, people today aged about 55-73.","Impendulo enentukuthelo ayizange inakwe kakhulu ephalamende kepha emva kwesikhashana nje kube sekukhulunywa ngayo kakhulu ezinkundleni zokuxhumana lapho intsha ezalwe phakathi kuka-1980 no-1990 isebenzisa igama ""Lesidala"" ukukhombisa ukucasukela isizukulwane eyisibiza nge-Baby Boom, okungabantu abaneminyaka yobudala engama-55 kuya kwengama-73 njengamanje.",News Crawl 2019
"Opponents warned of economic consequences, particularly to the trucking industry, which is more sensitive to price increases per gallon of fuel.","Abaphikisi baxwayise ngemiphumela yezomnotho, ikakhulukazi embonini yamaloli, ethinteka kakhulu lapho kukhuphuka amanani kaphethiloli ngegalane ngalinye.",News Crawl 2019
