zu,en,source
"Lomkhakha kufanele uthuthukiswe,� lawa amazwi kaSomlomo, uLogie Naidoo ekhuluma kwinkomfa nombukiso wobuciko ebuse Durban ICC ngesonto elidlule.","This sector needs to be developed, � These are the words of Speaker, Logie Naidoo, from a conference and art exhibition held at the Durban ICC last week.",Newspaper
Yonke imibuzo: Ucingo: 031- 311 3154 (Shaks Ramlucken).,All questions: Phone: 031- 311 3154 (Shaks Ramlucken).,Newspaper
Axhumanisa umphakathi noMkhandlu ngoba abika kuwona ngentuthuko edingeka emphakathini.,They connect the community with the Council because they report to it on the development needed in the community.,Newspaper
Umsebenzi kaSolwazi uveze ukubaluleka nokuba igugu kwalamathambo.,The Professor's work has highlighted the importance and value of these bones.,Newspaper
Sibusiso Sithole IMenenja yeDolobha IsImEmo sEzIphakamIso INkoNTIlEkA 7g-20144: UKUHLONZA IZINDAWO ZOKUTHWEBULA AMAFILIMU ETHEKWINI.,"Sibusiso Sithole, City Manager - Invitation To Make Recommendations: Contract 7g-20144: IDENTIFYING PLACES WHERE MOVIES CAN BE SHOT IN DURBAN.",Newspaper
"Ngalokhu, emhlanganweni wokugcotshwa kwamaKhansela kwathathwa isinqumo sokuthi kuqalwe umhlangano woMkhandlu oKhethekile okuyiwona ozobhekana futhi uphasise ukwakhiwa kwamakomidi amancane.","In this regard, it was decided at the inauguration meeting of the Councilors that a special Council meeting would be held to deliberate on and approve the formation of sub-committees.",Newspaper
"UMehtar uthe: �Njenge-NGO, umsebenzi wethu omkhulu ukuphendula lapho kunezinhlekelele, kanti ngonyaka odlule siqale ukuhlinzeka amanzi ezindaweni ezihlaselwe yisomiso esifundazweni saKwaZulu-Natali.","Mehtar said: �As an NGO, our main task is to respond to disasters, and last year we started providing water to drought-stricken areas in KwaZulu-Natal.",Newspaper
"Lokhu kuyoqinisekisa ukudlondlobala komnotho okuqinile, amathuba omsebenzi ayohlala ekhona, kanye nokuncipha kobubha.","This will ensure strong economic growth, sustainable employment opportunities, and poverty reduction.",Newspaper
Kok); Eminye: Ucingo: 031-311 3488 (D.,Kok); Other: Phone: 031-311 3488 (D.,Newspaper
UMasipala weTheku ngohlelo lwayo lweCelebrate Durban lubambisene ne-DUT benze lomcimbi waba impumelelo.,EThekwini Municipality through its Celebrate Durban program in partnership with DUT has made this event a success.,Newspaper
Ababhalisayo banikezwa inombolo yenkomba (PR number) okuyiyo okufanele bayicaphune njalo uma benza ibhizinisi noMasipala.,Registrants are given a PR number which they must quote every time they do business with the Municipality.,Newspaper
Osonkontileka bamatasa baqedela umzila wokugijima eKings Park Athletics Stadium.,Contractors are busy completing the running track at Kings Park Athletics Stadium.,Newspaper
"IPhini leMenenja kaMasipala, uMusa Gumede uthe uMasipala ubhajethe imali engu-R20 million.","Deputy Municipal Manager, Musa Gumede, said that the municipality had budgeted R20 million.",Newspaper
"NgoJanuwari kulonyaka samukele uMenenja weDolobha kaMasipala omusha, uSibusiso Sithole, ozosilekelela ukuthatha uMasipala siwubeke kwezilinye izinga.","In January this year we welcomed the new Municipal City Manager, Sibusiso Sithole, who will help us take the Municipality to the next level.",Newspaper
"Nalapho ugogo wasukumele phezulu wayozama imali yokuthi uVusimuzi ayothola indawo yokuhlala eThekwini aphinde adle futhi, nangempela ugogo wayithola komunye umakhelwane, bamnika imali engango R 1000.","Even when the grandmother got up and tried to raise money for Vusimuzi to find a place to live in Durban and eat and, indeed, the grandmother got it from another neighbuor, and they gave her R1000.",Short Story
